Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Language
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,False,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,False,True,True,False,False,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,False,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,False,True,True,True,True,True,True,False,True,en
True,False,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,False,True,True,False,True,en
False,True,True,True,True,True,True,False,False,True,en
False,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,False,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,False,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,False,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,False,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,True,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,False,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,False,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,False,True,True,True,True,True,True,False,True,en
False,True,True,True,True,True,True,False,False,True,en
False,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
True,True,True,True,True,True,True,True,False,True,en
